lean_name	ratification	milestone
Lean.Omega.Coeffs	R-V4:omega-reflection	NEVER
Lean.Omega.Coeffs.combo	R-V4:omega-reflection	NEVER
Lean.Omega.Coeffs.combo_eq_smul_add_smul	R-V4:omega-reflection	NEVER
Lean.Omega.Coeffs.dot	R-V4:omega-reflection	NEVER
Lean.Omega.Coeffs.dot_distrib_left	R-V4:omega-reflection	NEVER
Lean.Omega.Coeffs.dot_sdiv_left	R-V4:omega-reflection	NEVER
Lean.Omega.Coeffs.dot_smul_left	R-V4:omega-reflection	NEVER
Lean.Omega.Coeffs.gcd	R-V4:omega-reflection	NEVER
Lean.Omega.Coeffs.gcd_dvd_dot_left	R-V4:omega-reflection	NEVER
Lean.Omega.Coeffs.get	R-V4:omega-reflection	NEVER
Lean.Omega.Coeffs.isZero	R-V4:omega-reflection	NEVER
Lean.Omega.Coeffs.leading	R-V4:omega-reflection	NEVER
Lean.Omega.Coeffs.ofList	R-V4:omega-reflection	NEVER
Lean.Omega.Coeffs.sdiv	R-V4:omega-reflection	NEVER
Lean.Omega.Coeffs.set	R-V4:omega-reflection	NEVER
Lean.Omega.Coeffs.smul	R-V4:omega-reflection	NEVER
Lean.Omega.Coeffs.sub_eq_add_neg	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.add	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.addEquality_sat	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.addInequality_sat	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.add_sat	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.casesOn	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.combine	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.combine_sat	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.combine_sat'	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.combo	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.combo_sat	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.div	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.div_sat	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.div_sat'	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.flip	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.impossible	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.isImpossible	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.isImpossible._sparseCasesOn_1	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.isImpossible.match_1	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.lowerBound	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.map	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.mk	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.neg	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.neg_sat	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.not_sat'_of_isImpossible	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.not_sat_of_isImpossible	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.rec	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.sat	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.sat'	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.sat'.eq_1	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.scale	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.scale_sat	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.trivial	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.trivial_say	R-V4:omega-reflection	NEVER
Lean.Omega.Constraint.upperBound	R-V4:omega-reflection	NEVER
Lean.Omega.Decidable.and_not_or_not_and_of_not_iff	R-V4:omega-reflection	NEVER
Lean.Omega.Decidable.and_or_not_and_not_of_iff	R-V4:omega-reflection	NEVER
Lean.Omega.Decidable.not_iff_iff_and_not_or_not_and	R-V4:omega-reflection	NEVER
Lean.Omega.Int.add_congr	R-V4:omega-reflection	NEVER
Lean.Omega.Int.add_le_iff_le_sub	R-V4:omega-reflection	NEVER
Lean.Omega.Int.add_le_zero_iff_le_neg	R-V4:omega-reflection	NEVER
Lean.Omega.Int.add_le_zero_iff_le_neg'	R-V4:omega-reflection	NEVER
Lean.Omega.Int.add_nonneg_iff_neg_le	R-V4:omega-reflection	NEVER
Lean.Omega.Int.add_nonneg_iff_neg_le'	R-V4:omega-reflection	NEVER
Lean.Omega.Int.emod_ofNat_nonneg	R-V4:omega-reflection	NEVER
Lean.Omega.Int.le_add_iff_sub_le	R-V4:omega-reflection	NEVER
Lean.Omega.Int.le_of_not_lt	R-V4:omega-reflection	NEVER
Lean.Omega.Int.lt_of_not_le	R-V4:omega-reflection	NEVER
Lean.Omega.Int.mul_congr	R-V4:omega-reflection	NEVER
Lean.Omega.Int.neg_congr	R-V4:omega-reflection	NEVER
Lean.Omega.Int.ofNat_congr	R-V4:omega-reflection	NEVER
Lean.Omega.Int.ofNat_le_of_le	R-V4:omega-reflection	NEVER
Lean.Omega.Int.ofNat_lt_of_lt	R-V4:omega-reflection	NEVER
Lean.Omega.Int.ofNat_mul_nonneg	R-V4:omega-reflection	NEVER
Lean.Omega.Int.ofNat_sub_dichotomy	R-V4:omega-reflection	NEVER
Lean.Omega.Int.ofNat_sub_eq_zero	R-V4:omega-reflection	NEVER
Lean.Omega.Int.sub_congr	R-V4:omega-reflection	NEVER
Lean.Omega.IntList	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.add	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.add_nil	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.combo	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.combo_eq_smul_add_smul	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.cons_add_cons	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.dot	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.dot_cons_cons	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.dot_distrib_left	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.dot_eq_zero_of_left_eq_zero	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.dot_mod_gcd_left	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.dot_neg_left	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.dot_nil_right	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.dot_of_left_zero	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.dot_sdiv_left	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.dot_set_left	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.dot_smul_left	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.dvd_gcd	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.gcd	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.gcd_cons_div_left	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.gcd_cons_div_right	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.gcd_cons_div_right'	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.gcd_dvd	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.gcd_dvd_dot_left	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.gcd_eq_iff	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.gcd_eq_zero	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.get	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.get_cons_succ	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.get_cons_zero	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.instAdd	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.instHMulInt	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.instMul	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.instNeg	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.instSub	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.leading	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.mul	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.mul_distrib_left	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.mul_neg_left	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.mul_nil_right	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.mul_smul_left	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.neg	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.nil_add	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.sdiv	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.set	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.set._f	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.set.match_1	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.smul	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.sub	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.sub_eq_add_neg	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.sum	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.sum_add	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.sum_neg	R-V4:omega-reflection	NEVER
Lean.Omega.IntList.sum_smul	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.add	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.add_eval	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.casesOn	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.coeffs	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.const	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.coordinate	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.coordinate_eval	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.coordinate_eval_0	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.coordinate_eval_1	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.coordinate_eval_2	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.coordinate_eval_3	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.coordinate_eval_4	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.coordinate_eval_5	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.coordinate_eval_6	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.eval	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.ext	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.instAdd	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.instHMulInt	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.instNeg	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.instSub	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.mk	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.mul	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.mul_eval	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.mul_eval_of_const_left	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.mul_eval_of_const_right	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.neg	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.neg_eval	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.rec	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.smul	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.sub	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.sub_eq_add_neg	R-V4:omega-reflection	NEVER
Lean.Omega.LinearCombo.sub_eval	R-V4:omega-reflection	NEVER
Lean.Omega.LowerBound	R-V4:omega-reflection	NEVER
Lean.Omega.LowerBound.sat	R-V4:omega-reflection	NEVER
Lean.Omega.UpperBound	R-V4:omega-reflection	NEVER
Lean.Omega.UpperBound.sat	R-V4:omega-reflection	NEVER
Lean.Omega.and_not_not_of_not_or	R-V4:omega-reflection	NEVER
Lean.Omega.combo_sat'	R-V4:omega-reflection	NEVER
Lean.Omega.normalize	R-V4:omega-reflection	NEVER
Lean.Omega.normalizeCoeffs	R-V4:omega-reflection	NEVER
Lean.Omega.normalizeConstraint	R-V4:omega-reflection	NEVER
Lean.Omega.normalize_sat	R-V4:omega-reflection	NEVER
Lean.Omega.positivize	R-V4:omega-reflection	NEVER
Lean.Omega.positivizeCoeffs	R-V4:omega-reflection	NEVER
Lean.Omega.positivizeConstraint	R-V4:omega-reflection	NEVER
Lean.Omega.positivize_sat	R-V4:omega-reflection	NEVER
Lean.Omega.tidy	R-V4:omega-reflection	NEVER
Lean.Omega.tidyCoeffs	R-V4:omega-reflection	NEVER
Lean.Omega.tidyConstraint	R-V4:omega-reflection	NEVER
Lean.Omega.tidy_sat	R-V4:omega-reflection	NEVER
Lean.Omega.«"normalize?"»	R-V4:omega-reflection	NEVER
Lean.Omega.«"normalize?"».match_1	R-V4:omega-reflection	NEVER
Lean.Omega.«"normalize?_eq_some"»	R-V4:omega-reflection	NEVER
Lean.Omega.«"positivize?"»	R-V4:omega-reflection	NEVER
Lean.Omega.«"positivize?_eq_some"»	R-V4:omega-reflection	NEVER
Lean.Omega.«"tidy?"»	R-V4:omega-reflection	NEVER
Lean.Omega.«"tidy?"».match_1	R-V4:omega-reflection	NEVER
