lean_name	target	verdict
Acc	-	UNMAPPED
Acc.intro	-	UNMAPPED
Acc.inv	-	UNMAPPED
Acc.rec	-	UNMAPPED
Acc.recOn	-	UNMAPPED
Add	-	UNMAPPED
Add.add	-	UNMAPPED
Add.mk	-	UNMAPPED
And	-	UNMAPPED
And.casesOn	-	UNMAPPED
And.comm	-	UNMAPPED
And.intro	-	UNMAPPED
And.left	-	UNMAPPED
And.rec	-	UNMAPPED
And.right	-	UNMAPPED
And.symm	-	UNMAPPED
Append	-	UNMAPPED
Append.append	-	UNMAPPED
Append.mk	-	UNMAPPED
Array	-	UNMAPPED
Array.empty	-	UNMAPPED
Array.emptyWithCapacity	-	UNMAPPED
Array.mk	-	UNMAPPED
Array.push	-	UNMAPPED
Array.size	-	UNMAPPED
Array.toList	-	UNMAPPED
BEq	-	UNMAPPED
BEq.beq	-	UNMAPPED
BEq.mk	-	UNMAPPED
BEq.rfl	-	UNMAPPED
BitVec	-	UNMAPPED
BitVec.ofFin	-	UNMAPPED
BitVec.ofNat	-	UNMAPPED
BitVec.ofNat._proof_1	-	UNMAPPED
BitVec.ofNatLT	-	UNMAPPED
BitVec.toFin	-	UNMAPPED
BitVec.toNat	-	UNMAPPED
Bool	MechBool	NAME_ONLY
Bool.and	-	UNMAPPED
Bool.and.match_1	-	UNMAPPED
Bool.and_eq_false_imp	-	UNMAPPED
Bool.and_eq_false_imp._simp_1	-	UNMAPPED
Bool.and_eq_true	-	UNMAPPED
Bool.and_eq_true_iff	-	UNMAPPED
Bool.and_true	-	UNMAPPED
Bool.casesOn	-	UNMAPPED
Bool.ctorIdx	-	UNMAPPED
Bool.decEq	-	UNMAPPED
Bool.decEq.match_1	-	UNMAPPED
Bool.decide_and	-	UNMAPPED
Bool.false	mechFalse	NAME_ONLY
Bool.false_and	-	UNMAPPED
Bool.false_or	-	UNMAPPED
Bool.if_false_left	-	UNMAPPED
Bool.if_true_left	-	UNMAPPED
Bool.instDecidableForallOfDecidablePred	-	UNMAPPED
Bool.instDecidableForallOfDecidablePred._proof_1	-	UNMAPPED
Bool.instDecidableForallOfDecidablePred._proof_2	-	UNMAPPED
Bool.instDecidableForallOfDecidablePred._proof_3	-	UNMAPPED
Bool.instDecidableForallOfDecidablePred.match_1	-	UNMAPPED
Bool.instDecidableForallOfDecidablePred.match_3	-	UNMAPPED
Bool.ite_eq_true_distrib	-	UNMAPPED
Bool.noConfusion	-	UNMAPPED
Bool.noConfusionType	-	UNMAPPED
Bool.not	-	UNMAPPED
Bool.not_and	-	UNMAPPED
Bool.not_eq_eq_eq_not	-	UNMAPPED
Bool.not_eq_eq_eq_not._simp_1	-	UNMAPPED
Bool.not_eq_false	-	UNMAPPED
Bool.not_eq_true	-	UNMAPPED
Bool.not_false	-	UNMAPPED
Bool.not_true	-	UNMAPPED
Bool.of_not_eq_true	-	UNMAPPED
Bool.or	-	UNMAPPED
Bool.or_eq_false_iff	-	UNMAPPED
Bool.or_eq_false_iff._simp_1	-	UNMAPPED
Bool.or_eq_true	-	UNMAPPED
Bool.rec	-	UNMAPPED
Bool.true	mechTrue	NAME_ONLY
Bool.true_and	-	UNMAPPED
Bool.true_or	-	UNMAPPED
ByteArray	-	UNMAPPED
ByteArray.IsValidUTF8	-	UNMAPPED
ByteArray.IsValidUTF8.intro	-	UNMAPPED
ByteArray.casesOn	-	UNMAPPED
ByteArray.empty	-	UNMAPPED
ByteArray.emptyWithCapacity	-	UNMAPPED
ByteArray.mk	-	UNMAPPED
ByteArray.push	-	UNMAPPED
ByteArray.push.match_1	-	UNMAPPED
ByteArray.rec	-	UNMAPPED
ByteArray.size	-	UNMAPPED
ByteArray.size.match_1	-	UNMAPPED
Char	-	UNMAPPED
Char.mk	-	UNMAPPED
Char.ofNat	-	UNMAPPED
Char.ofNat._proof_1	-	UNMAPPED
Char.ofNat._proof_2	-	UNMAPPED
Char.ofNatAux	-	UNMAPPED
Char.ofNatAux._private_1	-	UNMAPPED
Char.val	-	UNMAPPED
Classical.byCases	-	UNMAPPED
Classical.byContradiction	-	UNMAPPED
Classical.choice	-	UNMAPPED
Classical.choose	-	UNMAPPED
Classical.choose_spec	-	UNMAPPED
Classical.em	-	UNMAPPED
Classical.indefiniteDescription	-	UNMAPPED
Classical.indefiniteDescription._proof_1	-	UNMAPPED
Classical.indefiniteDescription.match_1	-	UNMAPPED
Classical.propDecidable	-	UNMAPPED
Classical.propDecidable._proof_1	-	UNMAPPED
Classical.propDecidable.match_1	-	UNMAPPED
Decidable	MechDecidable	NAME_ONLY
Decidable.byCases	-	UNMAPPED
Decidable.byCases.match_1	-	UNMAPPED
Decidable.byContradiction	-	UNMAPPED
Decidable.casesOn	-	UNMAPPED
Decidable.decide	-	UNMAPPED
Decidable.decide.congr_simp	-	UNMAPPED
Decidable.em	-	UNMAPPED
Decidable.iff_iff_and_or_not_and_not	-	UNMAPPED
Decidable.isFalse	mechIsFalse	NAME_ONLY
Decidable.isTrue	mechIsTrue	NAME_ONLY
Decidable.not_not	-	UNMAPPED
Decidable.of_not_not	-	UNMAPPED
Decidable.rec	-	UNMAPPED
DecidableEq	-	UNMAPPED
DecidablePred	-	UNMAPPED
DecidableRel	-	UNMAPPED
Div	-	UNMAPPED
Div.div	-	UNMAPPED
Div.mk	-	UNMAPPED
Dvd	-	UNMAPPED
Dvd.dvd	-	UNMAPPED
Dvd.mk	-	UNMAPPED
Eq	MechEq	NAME_ONLY
Eq.casesOn	-	UNMAPPED
Eq.comm	-	UNMAPPED
Eq.mp	-	UNMAPPED
Eq.mpr	-	UNMAPPED
Eq.mpr_not	-	UNMAPPED
Eq.mpr_prop	-	UNMAPPED
Eq.ndrec	mechTransport	NAME_ONLY
Eq.ndrec_symm	-	UNMAPPED
Eq.propIntro	-	UNMAPPED
Eq.rec	mechJ	NAME_ONLY
Eq.refl	mechRefl	NAME_ONLY
Eq.subst	-	UNMAPPED
Eq.symm	mechSymm	NAME_ONLY
Eq.to_iff	-	UNMAPPED
Eq.trans	mechTrans	NAME_ONLY
Exists	-	UNMAPPED
Exists.casesOn	-	UNMAPPED
Exists.choose	-	UNMAPPED
Exists.choose_spec	-	UNMAPPED
Exists.intro	-	UNMAPPED
Exists.rec	-	UNMAPPED
False	MechFalse	NAME_ONLY
False.casesOn	-	UNMAPPED
False.elim	-	UNMAPPED
False.rec	-	UNMAPPED
Fin	-	UNMAPPED
Fin.Internal.ofNat	-	UNMAPPED
Fin.casesOn	-	UNMAPPED
Fin.castAdd	-	UNMAPPED
Fin.castLE	-	UNMAPPED
Fin.castLE._proof_1	-	UNMAPPED
Fin.castSucc	-	UNMAPPED
Fin.eq_of_val_eq	-	UNMAPPED
Fin.ext	-	UNMAPPED
Fin.isLt	-	UNMAPPED
Fin.last	-	UNMAPPED
Fin.mk	-	UNMAPPED
Fin.rec	-	UNMAPPED
Fin.val	-	UNMAPPED
Fin.val_eq_of_eq	-	UNMAPPED
Function.comp	-	UNMAPPED
GE.ge	-	UNMAPPED
GT.gt	-	UNMAPPED
GetElem	-	UNMAPPED
GetElem.getElem	-	UNMAPPED
GetElem.mk	-	UNMAPPED
HAdd	-	UNMAPPED
HAdd.hAdd	-	UNMAPPED
HAdd.mk	-	UNMAPPED
HAppend	-	UNMAPPED
HAppend.hAppend	-	UNMAPPED
HAppend.mk	-	UNMAPPED
HDiv	-	UNMAPPED
HDiv.hDiv	-	UNMAPPED
HDiv.mk	-	UNMAPPED
HEq	-	UNMAPPED
HEq.casesOn	-	UNMAPPED
HEq.homo_ndrec	-	UNMAPPED
HEq.ndrecOn	-	UNMAPPED
HEq.rec	-	UNMAPPED
HEq.refl	-	UNMAPPED
HEq.rfl	-	UNMAPPED
HEq.subst	-	UNMAPPED
HEq.symm	-	UNMAPPED
HEq.trans	-	UNMAPPED
HMod	-	UNMAPPED
HMod.hMod	-	UNMAPPED
HMod.mk	-	UNMAPPED
HMul	-	UNMAPPED
HMul.hMul	-	UNMAPPED
HMul.mk	-	UNMAPPED
HPow	-	UNMAPPED
HPow.hPow	-	UNMAPPED
HPow.mk	-	UNMAPPED
HSub	-	UNMAPPED
HSub.hSub	-	UNMAPPED
HSub.mk	-	UNMAPPED
Iff	-	UNMAPPED
Iff.comm	-	UNMAPPED
Iff.intro	-	UNMAPPED
Iff.mp	-	UNMAPPED
Iff.mpr	-	UNMAPPED
Iff.of_eq	-	UNMAPPED
Iff.refl	-	UNMAPPED
Iff.rfl	-	UNMAPPED
Iff.symm	-	UNMAPPED
Iff.trans	-	UNMAPPED
Inhabited	-	UNMAPPED
Inhabited.default	-	UNMAPPED
Inhabited.mk	-	UNMAPPED
Int	-	UNMAPPED
Int.NonNeg	-	UNMAPPED
Int.NonNeg.casesOn	-	UNMAPPED
Int.NonNeg.mk	-	UNMAPPED
Int.NonNeg.rec	-	UNMAPPED
Int.add	-	UNMAPPED
Int.add.match_1	-	UNMAPPED
Int.add_assoc	-	UNMAPPED
Int.add_comm	-	UNMAPPED
Int.add_ediv_of_dvd_left	-	UNMAPPED
Int.add_ediv_of_dvd_right	-	UNMAPPED
Int.add_emod	-	UNMAPPED
Int.add_emod_emod	-	UNMAPPED
Int.add_le_add	-	UNMAPPED
Int.add_le_add_iff_right	-	UNMAPPED
Int.add_le_add_iff_right._simp_1	-	UNMAPPED
Int.add_le_add_left	-	UNMAPPED
Int.add_le_add_right	-	UNMAPPED
Int.add_left_cancel	-	UNMAPPED
Int.add_left_comm	-	UNMAPPED
Int.add_left_neg	-	UNMAPPED
Int.add_lt_add_left	-	UNMAPPED
Int.add_lt_add_right	-	UNMAPPED
Int.add_mul	-	UNMAPPED
Int.add_mul_ediv_left	-	UNMAPPED
Int.add_mul_ediv_right	-	UNMAPPED
Int.add_mul_emod_self_left	-	UNMAPPED
Int.add_mul_emod_self_right	-	UNMAPPED
Int.add_neg_cancel_right	-	UNMAPPED
Int.add_neg_eq_sub	-	UNMAPPED
Int.add_nonneg	-	UNMAPPED
Int.add_one_le_of_lt	-	UNMAPPED
Int.add_right_comm	-	UNMAPPED
Int.add_right_neg	-	UNMAPPED
Int.add_sub_cancel	-	UNMAPPED
Int.add_zero	-	UNMAPPED
Int.casesOn	-	UNMAPPED
Int.cast	-	UNMAPPED
Int.ctorIdx	-	UNMAPPED
Int.decEq	-	UNMAPPED
Int.decEq._proof_1	-	UNMAPPED
Int.decEq._proof_2	-	UNMAPPED
Int.decEq._proof_3	-	UNMAPPED
Int.decEq._proof_4	-	UNMAPPED
Int.decEq._proof_5	-	UNMAPPED
Int.decEq._proof_6	-	UNMAPPED
Int.decEq.match_1	-	UNMAPPED
Int.decLe	-	UNMAPPED
Int.decLt	-	UNMAPPED
Int.decNonneg	-	UNMAPPED
Int.decNonneg._proof_1	-	UNMAPPED
Int.decidableDvd	-	UNMAPPED
Int.decidableDvd._proof_1	-	UNMAPPED
Int.divExact	-	UNMAPPED
Int.divExact_eq_tdiv	-	UNMAPPED
Int.div_def	-	UNMAPPED
Int.dvd_add	-	UNMAPPED
Int.dvd_iff_dvd_of_dvd_add	-	UNMAPPED
Int.dvd_iff_dvd_of_dvd_sub	-	UNMAPPED
Int.dvd_iff_emod_eq_zero	-	UNMAPPED
Int.dvd_mul_left	-	UNMAPPED
Int.dvd_mul_right	-	UNMAPPED
Int.dvd_natAbs	-	UNMAPPED
Int.dvd_neg	-	UNMAPPED
Int.dvd_neg._simp_1	-	UNMAPPED
Int.dvd_of_emod_eq_zero	-	UNMAPPED
Int.dvd_refl	-	UNMAPPED
Int.dvd_sub	-	UNMAPPED
Int.dvd_trans	-	UNMAPPED
Int.dvd_zero	-	UNMAPPED
Int.dvd_zero._simp_1	-	UNMAPPED
Int.ediv	-	UNMAPPED
Int.ediv.eq_4	-	UNMAPPED
Int.ediv.eq_5	-	UNMAPPED
Int.ediv.match_1	-	UNMAPPED
Int.ediv_eq_neg_one_of_neg_of_le	-	UNMAPPED
Int.ediv_eq_one_of_neg_of_le	-	UNMAPPED
Int.ediv_eq_tdiv	-	UNMAPPED
Int.ediv_mul_cancel	-	UNMAPPED
Int.ediv_mul_cancel_of_emod_eq_zero	-	UNMAPPED
Int.ediv_neg	-	UNMAPPED
Int.ediv_nonneg	-	UNMAPPED
Int.ediv_nonneg_iff_of_pos	-	UNMAPPED
Int.ediv_one	-	UNMAPPED
Int.ediv_zero	-	UNMAPPED
Int.emod	-	UNMAPPED
Int.emod.eq_2	-	UNMAPPED
Int.emod.match_1	-	UNMAPPED
Int.emod_add_emod	-	UNMAPPED
Int.emod_add_mul_ediv	-	UNMAPPED
Int.emod_def	-	UNMAPPED
Int.emod_emod_of_dvd	-	UNMAPPED
Int.emod_eq_zero_of_dvd	-	UNMAPPED
Int.emod_lt_of_neg	-	UNMAPPED
Int.emod_lt_of_pos	-	UNMAPPED
Int.emod_neg	-	UNMAPPED
Int.emod_nonneg	-	UNMAPPED
Int.emod_pos_of_not_dvd	-	UNMAPPED
Int.emod_self	-	UNMAPPED
Int.emod_zero	-	UNMAPPED
Int.eq_iff_le_and_ge	-	UNMAPPED
Int.eq_nat_or_neg	-	UNMAPPED
Int.eq_negSucc_of_lt_zero	-	UNMAPPED
